Season,Pos,Player,Team,GP,P Yds,P Comp,P TD,INT,Ru Yds,Ru TD,Rec,Rec Yds,Rec TD,Actual FFP,Projected FFP,Diff Perc,Top Prospect,Bottom Prospect,Pos Tier,Pos Prospect Mean Diff,Pos Prospect SD
2023,WR,Parris Campbell,PHI,12,,,,,,,20,104,,20,88,-77%,FALSE,TRUE,WR3,12%,88%
2023,WR,Kendrick Bourne,NE,8,,,,,4,,37,406,4,84,87,-5%,FALSE,TRUE,WR3,12%,88%
2023,WR,Trey Palmer,TB,17,,,,,22,,39,385,3,78,87,-10%,FALSE,TRUE,WR3,12%,88%
2023,WR,Puka Nacua,LA,17,,,,,89,,105,1486,6,246,85,189%,FALSE,TRUE,WR3,12%,88%
2023,WR,Hunter Renfrow,LV,17,,,,,,,25,255,,38,85,-55%,FALSE,TRUE,WR3,12%,88%
2023,WR,Terrace Marshall,CAR,9,,,,,,,19,139,,23,80,-71%,FALSE,TRUE,WR3,12%,88%
2023,WR,Chase Claypool,BUF,9,,,,,,,4,26,,5,78,-94%,FALSE,TRUE,WR3,12%,88%
2023,WR,Rashid Shaheed,NO,15,,,,,37,,46,719,5,129,77,67%,FALSE,TRUE,WR3,12%,88%
2023,WR,Mack Hollins,BUF,13,,,,,,,18,251,,34,77,-56%,FALSE,TRUE,WR3,12%,88%
2023,WR,John Metchie,HOU,16,,,,,4,,16,158,,24,73,-67%,FALSE,TRUE,WR3,12%,88%
2023,WR,Randall Cobb,NYJ,11,,,,,,,5,39,1,12,72,-83%,FALSE,TRUE,WR3,12%,88%
2023,WR,Nick Westbrook-Ikhine,TEN,14,,,,,,,28,370,3,69,69,0%,FALSE,TRUE,WR3,12%,88%
2023,WR,Josh Reynolds,DEN,17,,,,,,,40,608,5,111,69,61%,FALSE,TRUE,WR3,12%,88%
2023,WR,Joshua Palmer,LAC,10,,,,,6,,38,581,2,90,66,37%,FALSE,TRUE,WR3,12%,88%
2023,WR,Tutu Atwell,LA,16,,,,,31,,39,483,3,89,64,38%,FALSE,TRUE,WR3,12%,88%
2023,WR,Trent Sherfield,MIN,17,,,,,,,11,86,1,20,60,-66%,FALSE,TRUE,WR3,12%,88%
2023,WR,Tank Dell,HOU,11,,,,,51,,47,709,7,142,59,139%,FALSE,TRUE,WR3,12%,88%
2023,WR,Cedrick Wilson,NO,15,,,,,,,22,296,3,59,59,-1%,FALSE,TRUE,WR3,12%,88%
2023,WR,Wan'Dale Robinson,NYG,15,,,,,87,1,60,525,1,103,58,79%,FALSE,TRUE,WR3,12%,88%
2023,WR,Rashee Rice,KC,16,,,,,-3,,79,938,7,175,57,208%,FALSE,TRUE,WR3,12%,88%
2023,WR,Deonte Harty,BAL,16,,,,,,,15,150,1,29,57,-50%,FALSE,TRUE,WR3,12%,88%
2023,WR,Braxton Berrios,MIA,16,,,,,11,,27,238,1,44,57,-22%,FALSE,TRUE,WR3,12%,88%
2023,WR,Ben Skowronek,HOU,17,,,,,9,,8,66,1,18,55,-68%,FALSE,TRUE,WR3,12%,88%
2023,WR,Richie James,KC,9,,,,,,,10,114,,16,55,-70%,FALSE,TRUE,WR3,12%,88%
2023,WR,Kayshon Boutte,NE,5,,,,,,,2,19,,3,47,-94%,FALSE,TRUE,WR3,12%,88%
2023,WR,KhaDarel Hodge,ATL,17,,,,,,,14,232,,30,46,-35%,FALSE,TRUE,WR3,12%,88%
2023,WR,Quez Watkins,PIT,9,,,,,,,15,142,1,28,46,-39%,FALSE,TRUE,WR3,12%,88%
2023,WR,Jauan Jennings,SF,13,,,,,,,19,265,1,42,40,4%,FALSE,TRUE,WR3,12%,88%
2023,WR,Isaiah McKenzie,NYG,13,,,,,14,,11,82,,15,39,-62%,FALSE,TRUE,WR3,12%,88%
2023,WR,Jalin Hyatt,NYG,17,,,,,,,23,373,,49,39,25%,FALSE,TRUE,WR3,12%,88%
2023,WR,Khalil Shakir,BUF,17,,,,,10,,39,611,2,94,38,144%,FALSE,TRUE,WR3,12%,88%
2023,WR,DeMario Douglas,NE,14,,,,,41,,49,561,,85,37,128%,FALSE,TRUE,WR3,12%,88%
2023,WR,Kyle Philips,TEN,9,,,,,,,15,181,,26,37,-30%,FALSE,TRUE,WR3,12%,88%
2023,WR,Sterling Shepard,NYG,15,,,,,6,,10,57,1,17,36,-51%,FALSE,TRUE,WR3,12%,88%
2023,WR,Charlie Jones,CIN,11,,,,,13,,7,64,,11,35,-68%,FALSE,TRUE,WR3,12%,88%
2023,WR,Antoine Green,DET,9,,,,,,,1,2,,1,35,-98%,FALSE,TRUE,WR3,12%,88%
2023,WR,Brandon Johnson,DEN,13,,,,,,,19,284,4,62,34,81%,FALSE,TRUE,WR3,12%,88%
2023,WR,Deven Thompkins,TB,17,,,,,56,,17,83,1,28,34,-16%,FALSE,TRUE,WR3,12%,88%
2023,WR,Cedric Tillman,CLE,14,,,,,8,,21,224,,34,34,-1%,FALSE,TRUE,WR3,12%,88%
2023,WR,Greg Dortch,ARI,16,,,,,5,,24,280,2,53,34,55%,FALSE,TRUE,WR3,12%,88%
2023,WR,Jamal Agnew,JAC,11,,,,,-2,,14,225,1,35,34,5%,FALSE,TRUE,WR3,12%,88%
2023,WR,Scott Miller,PIT,17,,,,,,,11,161,2,34,30,12%,FALSE,TRUE,WR3,12%,88%
2023,WR,Jalen Tolbert,DAL,17,,,,,,,22,268,2,50,30,68%,FALSE,TRUE,WR3,12%,88%
2023,WR,Zach Pascal,ARI,14,,,,,,,4,19,,4,28,-86%,FALSE,TRUE,WR3,12%,88%
2023,WR,River Cracraft,MIA,10,,,,,,,9,121,1,23,26,-14%,FALSE,TRUE,WR3,12%,88%
